Product Name,revenue,cumulative_pct,class
Field & Stream Sportsman 16 Gun Fire Safe,6929653.690575,0.18838395024605867,A
Perfect Fitness Perfect Rip Deck,4421143.14353786,0.30857356536574737,A
Diamondback Women's Serene Classic Comfort Bi,4118425.571019,0.42053374584607406,A
Nike Men's Free 5.0+ Running Shoe,3667633.19662996,0.5202390501060046,A
Nike Men's Dri-FIT Victory Golf Polo,3147800.0,0.6058125902947552,A
Pelican Sunstream 100 Kayak,3099845.08525,0.6900824670282014,A
Nike Men's CJ Elite 2 TD Football Cleat,2891757.6623529997,0.768695447692631,A
O'Brien Men's Neoprene Life Vest,2888993.9135055,0.8472332953203134,B
Under Armour Girls' Toddler Spine Surge Runni,1269082.67110818,0.88173354849997,B
Dell Laptop,663000.0,0.8997573292818308,B
Web Camera,267607.685032,0.907032294968947,B
Lawn mower,257768.72827639998,0.9140397867500524,B
Children's heaters,232829.20397719997,0.9203692928316514,B
Porcelain crafts,223356.325324,0.9264412769099044,B
Summer dresses,140283.00474499998,0.9302548970078601,B
Smart watch ,117006.75,0.9334357477046896,B
Rock music,113122.09735260002,0.936510993382318,B
Industrial consumer electronics,108991.2821119,0.9394739420639452,B
First aid kit,106080.483077,0.9423577601215828,B
DVDs ,79395.5423667,0.9445161430034444,B
adidas Youth Germany Black/Red Away Match Soc,67830.0,0.9463601144218964,B
LIJA Women's Eyelet Sleeveless Golf Polo,61490.0,0.9480317317375474,B
adidas Men's F10 Messi TRX FG Soccer Cleat,56330.61164488,0.9495630901019447,B
Titleist Pro V1x High Numbers Personalized Go,47206.92146286,0.9508464192178319,C
Under Armour Women's Micro G Skulpt Running S,46559.591034339996,0.9521121505332105,C
Nike Men's Comfort 2 Slide,44585.09062432,0.9533242046803478,C
Titleist Pro V1 High Numbers Personalized Gol,44243.491382600005,0.9545269723872922,C
Men's gala suit,43856.8012688,0.9557192278501316,C
Adult dog supplies,41524.80075276,0.956848087436524,C
Titleist Pro V1x Golf Balls,41415.37052844,0.9579739721415076,C
Titleist Pro V1x High Numbers Golf Balls,38392.00052236,0.9590176659592936,C
Under Armour Men's Compression EV SL Slide,36576.87057466,0.9600120151250917,C
TYR Boys' Team Digi Jammer,35191.2006334,0.9609686945906526,C
Clicgear Rovic Cooler Bag,34671.33045858,0.9619112412868833,C
Fighting video games,33310.5,0.9628167935489258,C
SOLE E35 Elliptical,29999.84985,0.9636323451585564,C
ENO Atlas Hammock Straps,29930.019742160002,0.9644459984234576,C
Bridgestone e6 Straight Distance NFL Carolina,29686.71978552,0.9652530375328795,C
Under Armour Hustle Storm Medium Duffle Bag,29601.54064158,0.9660577610311136,C
Under Armour Women's Ignite Slide,29398.80977828,0.9668569732523676,C
Bridgestone e6 Straight Distance NFL San Dieg,28982.93982142,0.9676448799699471,C
Columbia Men's PFG Anchor Tough T-Shirt,27840.0,0.9684017156516469,C
adidas Kids' F5 Messi FG Soccer Cleat,27327.19054016,0.9691446105108926,C
Nike Women's Tempo Shorts,27210.0,0.9698843195230713,C
Nike Men's Deutschland Weltmeister Winners Bl,27210.0,0.97062402853525,C
Under Armour Women's Ignite PIP VI Slide,27127.519792220002,0.9713614953073323,C
Bridgestone e6 Straight Distance NFL Tennesse,25751.94975595,0.9720615669470106,C
Team Golf St. Louis Cardinals Putter Grip,23940.41977515,0.9727123918004843,C
Team Golf Tennessee Volunteers Putter Grip,22865.849746840002,0.973334004263875,C
LIJA Women's Mid-Length Panel Golf Shorts,22700.0,0.9739511080704334,C
Team Golf Texas Longhorns Putter Grip,22366.049832380002,0.9745591333783293,C
Under Armour Kids' Mercenary Slide,22252.04978358,0.975164059573271,C
Team Golf Pittsburgh Steelers Putter Grip,22166.12984186,0.9757666500182964,C
Team Golf San Francisco Giants Putter Grip,21766.2898108,0.9763583707362214,C
adidas Men's Germany Black Crest Away Tee,21475.0,0.9769421726853775,C
Bag Boy Beverage Holder,21116.549776390002,0.9775162300972009,C
Under Armour Men's Tech II T-Shirt,20866.649801890002,0.9780834939308074,C
Merrell Women's Grassbow Sport Hiking Shoe,20697.92999222,0.9786461710843791,C
Nike Men's Free TR 5.0 TB Training Shoe,20597.93996418,0.9792061299900691,C
Team Golf New England Patriots Putter Grip,20566.76981798,0.9797652415294208,C
Glove It Women's Mod Oval 3-Zip Carry All Gol,20450.69974701,0.980321197681873,C
Nike Women's Legend V-Neck T-Shirt,20025.0,0.9808655811059405,C
Nike Women's Free 5.0 TR FIT PRT 4 Training S,19567.940017240002,0.9813975392676649,C
Nike Dri-FIT Crew Sock 6 Pack,19426.0,0.9819256387630924,C
TaylorMade White Smoke IN-12 Putter,19298.06989294,0.9824502604542892,C
Garmin Approach S3 Golf GPS Watch,19249.2304235,0.9829735544352435,C
Brooks Women's Ghost 6 Running Shoe,19077.88003532,0.9834921902233871,C
Glove It Women's Imperial Golf Glove,18810.58979375,0.9840035596756044,C
Fitbit The One Wireless Activity & Sleep Trac,18690.64982615,0.9845116685370479,C
Nike Kids' Grade School KD VI Basketball Shoe,18598.1399916,0.9850172625010883,C
Elevation Training Mask 2.0,18477.6899717,0.9855195820084868,C
The North Face Women's Recon Backpack,17919.0,0.9860067134230118,C
Top Flite Women's 2014 XL Hybrid,17731.12981181,0.986488737550829,C
Polar FT4 Heart Rate Monitor,17638.04005408,0.9869682310159217,C
Bag Boy M330 Push Cart,16637.919929480002,0.9874205360256881,C
Glove It Women's Mod Oval Golf Glove,16031.97982176,0.9878563684386693,C
Hirzl Women's Soffft Flex Golf Glove,15993.10980566,0.9882911441628887,C
LIJA Women's Argyle Golf Polo,15600.0,0.9887152331224619,C
Glove It Imperial Golf Towel,14870.69978864,0.9891194959174291,C
Glove It Urban Brick Golf Towel,14151.14979326,0.9895041976092617,C
Garmin Forerunner 910XT GPS Watch,13999.649657,0.989884780741148,C
Pelican Maverick 100X Kayak,13999.599608,0.9902653625124427,C
Cleveland Golf Collegiate My Custom Wedge 588,13649.3503575,0.9906364226914147,C
Titleist Small Wheeled Travel Cover,13499.460297,0.9910034080806555,C
Mio ALPHA Heart Rate Monitor/Sport Watch,13333.0,0.991365868215142,C
Hirzl Women's Hybrid Golf Glove,13311.11981353,0.9917277335326083,C
Hirzl Men's Hybrid Golf Glove,12951.35980753,0.9920798187060592,C
GoPro HERO3+ Black Edition Camera,12799.6796864,0.9924277804266408,C
Nike Men's Kobe IX Elite Low Basketball Shoe,12599.3703465,0.9927702966998155,C
Sports Books ,12587.3999676,0.9931124875559689,C
Baby sweater,12229.56037881,0.993444950475013,C
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,12096.0,0.9937737825298205,C
GolfBuddy VT3 GPS Watch,11799.4103245,0.9940945517380317,C
TaylorMade 2014 Purelite Stand Bag,11699.3503575,0.9944126007970571,C
MDGolf Pittsburgh Penguins Putter,11598.549881160001,0.9947279095760095,C
Total Gym 1400,10799.639647200001,0.9950214998286856,C
Garmin Approach S4 Golf GPS Watch,10799.639647200001,0.9953150900813618,C
adidas Brazuca 2014 Official Match Ball,10399.3503575,0.995597798393756,C
Ogio Race Golf Shoes,10369.3903355,0.9958796922372682,C
Titleist Club Glove Travel Cover,10199.6596668,0.9961569719203511,C
SOLE E25 Elliptical,9999.899902,0.9964288210963304,C
Merrell Women's Siren Mid Waterproof Hiking B,9449.300385,0.9966857021199822,C
Merrell Men's All Out Flash Trail Running Sho,9349.149821500001,0.996939860531565,C
insta-bed Neverflat Air Mattress,8999.40033,0.9971845109368684,C
Stiga Master Series ST3100 Competition Indoor,8909.7297354,0.9974267236300455,C
Clicgear 8.0 Shoe Brush,8871.119937156,0.9976678867085326,C
TaylorMade Women's RBZ SL Rescue,8839.320373999999,0.9979081853098623,C
Diamondback Boys' Insight 24 Performance Hybr,8699.709715800002,0.9981446885689623,C
Diamondback Girls' Clarity 24 Hybrid Bike 201,8399.7197256,0.998373036543266,C
Cleveland Golf Women's 588 RTX CB Satin Chrom,8399.299853,0.9986013731032533,C
LIJA Women's Button Golf Dress,8208.0,0.9988245091404441,C
Nike Men's Fingertrap Max Training Shoe,7999.3598656,0.9990419732559987,C
Merrell Women's Grassbow Sport Waterproof Hik,7539.420319,0.9992469338277211,C
Bushnell Pro X7 Jolt Slope Rangefinder,6599.8898922,0.9994263530865468,C
Toys ,6104.65997884,0.9995923094262246,C
Bowflex SelectTech 1090 Dumbbells,5999.899901999999,0.9997554178433388,C
Polar Loop Activity Tracker,5937.2998326,0.9999168244656901,C
CDs of rock,3059.5899891599997,0.9999999999999994,C
